Parsing sort-100,500,5000.log ...
Timings are given in milli-seconds (min time + 1 stddev)
COLUMNS:Length	Sub-size	Builder	Tweaker	BASELINE	DPQ_11	DPQ_18_11_21	DPQ_18_11_27	DPQ_19_01	DPQ_19_01_05	
5000	1024	SORT______	SHUFFLE	 0.0005856	 0.0025420	 0.0019183	 0.0021854	 0.0019166	 0.0019182	
5000	1024	DITHER____	STAGGER	 0.0005899	 0.1797603	 0.2181760	 0.2031467	 0.2073489	 0.2155260	
5000	1024	DITHER____	SAWTOTH	 0.0005767	 0.1856770	 0.1738450	 0.1830550	 0.1995282	 0.1813486	
5000	1024	DITHER____	_RANDOM	 0.0005870	 0.2889062	 0.2640708	 0.2698577	 0.2599506	 0.2734577	
5000	1024	DITHER____	PLATEAU	 0.0005918	 0.0196247	 0.0168135	 0.0175424	 0.0214965	 0.0170478	
5000	1024	DITHER____	SHUFFLE	 0.0005947	 0.0358154	 0.0335280	 0.0241630	 0.0267654	 0.0228631	
5000	4096	IDENT_____	STAGGER	 0.0005780	 0.2659822	 0.2439994	! 0.3291659	 0.2505553	 0.2443252	
5000	4096	IDENT_____	SAWTOTH	 0.0005876	 0.0124449	 0.0096584	 0.0101238	 0.0099419	 0.0098911	
5000	4096	IDENT_____	_RANDOM	 0.0005810	 0.2905196	 0.2456055	 0.2509383	 0.2604244	! 0.5402558	
5000	4096	IDENT_____	PLATEAU	 0.0005959	 0.0025287	 0.0019053	 0.0021799	 0.0019241	 0.0020079	
5000	4096	IDENT_____	SHUFFLE	 0.0005842	! 0.0099663	! 0.0073499	! 0.0076644	! 0.0056346	! 0.0075185	
5000	4096	REVERSE___	STAGGER	 0.0005902	 0.2613908	 0.2246309	 0.2318198	 0.2429472	 0.2368766	
5000	4096	REVERSE___	SAWTOTH	 0.0005905	 0.0142573	 0.0136686	 0.0150028	 0.0134494	 0.0139463	
5000	4096	REVERSE___	_RANDOM	 0.0005812	 0.2877873	 0.2592758	 0.2522059	 0.2637362	 0.2637167	
5000	4096	REVERSE___	PLATEAU	 0.0005831	 0.0052017	 0.0054533	 0.0050701	 0.0054459	 0.0055407	
5000	4096	REVERSE___	SHUFFLE	 0.0005811	! 0.0133260	! 0.0140789	! 0.0180891	! 0.0132260	! 0.0133692	
5000	4096	REVERSE_FR	STAGGER	 0.0005788	 0.2617119	 0.2324711	 0.2886863	 0.2520747	 0.2494102	
5000	4096	REVERSE_FR	SAWTOTH	 0.0005866	 0.0138367	 0.0128168	 0.0110727	 0.0111429	 0.0110360	
5000	4096	REVERSE_FR	_RANDOM	 0.0005837	 0.2747125	 0.2455651	 0.2514300	 0.2656441	 0.2645214	
5000	4096	REVERSE_FR	PLATEAU	 0.0005875	 0.0039517	 0.0038668	 0.0043710	 0.0042227	 0.0044637	
5000	4096	REVERSE_FR	SHUFFLE	 0.0005924	! 0.0125278	! 0.0146535	! 0.0140165	! 0.0131083	! 0.0131562	
5000	4096	REVERSE_BA	STAGGER	 0.0005777	 0.2558755	 0.2353415	 0.2408190	 0.2435248	! 0.8487782	
5000	4096	REVERSE_BA	SAWTOTH	 0.0005876	 0.0153450	! 0.0205607	 0.0161788	 0.0163931	 0.0159950	
5000	4096	REVERSE_BA	_RANDOM	 0.0005925	 0.2809318	 0.2535216	 0.2478770	 0.2645236	 0.2539269	
5000	4096	REVERSE_BA	PLATEAU	 0.0005956	 0.0145436	 0.0146039	 0.0151681	 0.0122832	 0.0123207	
5000	4096	REVERSE_BA	SHUFFLE	 0.0005826	 0.0208631	! 0.0312145	! 0.0324494	! 0.0330717	! 0.0349972	
5000	4096	SORT______	STAGGER	 0.0005726	 0.0019178	 0.0019338	 0.0019317	 0.0019327	 0.0019342	
5000	4096	SORT______	SAWTOTH	 0.0005918	 0.0018947	 0.0013223	! 0.0020023	 0.0013265	 0.0013284	
5000	4096	SORT______	_RANDOM	 0.0005886	 0.0018973	 0.0019161	 0.0019168	 0.0019072	 0.0019162	
5000	4096	SORT______	PLATEAU	 0.0005845	 0.0019025	 0.0019246	 0.0019236	 0.0019172	 0.0021978	
5000	4096	SORT______	SHUFFLE	 0.0006218	 0.0025072	 0.0018797	 0.0021584	 0.0018996	 0.0018833	
5000	4096	DITHER____	STAGGER	 0.0005737	 0.2656903	 0.2685177	! 0.3128476	 0.2465418	 0.2418487	
5000	4096	DITHER____	SAWTOTH	 0.0005919	 0.1063849	 0.1046249	 0.0912913	 0.1137678	 0.0947448	
5000	4096	DITHER____	_RANDOM	 0.0005830	 0.2877060	 0.2497986	 0.2560323	 0.2757077	 0.2480869	
5000	4096	DITHER____	PLATEAU	 0.0005789	 0.0317950	 0.0276039	 0.0321788	 0.0288191	 0.0349313	
5000	4096	DITHER____	SHUFFLE	 0.0005761	 0.0305381	 0.0245847	 0.0234566	 0.0263395	 0.0216153	
